CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81240110,-25.4758162194925,-49.3455733886983,5,15:03,30,82220610,-25.3725747859642,-49.2682819283134,True,15:03
82220610,-25.3725747859642,-49.2682819283134,5,15:03,0,81470256,-25.569416591018,-49.337872181861,False,15:19
81470256,-25.569416591018,-49.337872181861,5,15:19,35,81935446,-25.5561318634792,-49.2494041568186,True,15:30
81935446,-25.5561318634792,-49.2494041568186,5,15:30,38,81110070,-25.5038132404982,-49.2938690633352,True,15:40
81110070,-25.5038132404982,-49.2938690633352,5,15:40,40,81220100,-25.4557352095908,-49.3256450071633,True,16:09
81220100,-25.4557352095908,-49.3256450071633,5,16:09,30,81490170,-25.5871765229344,-49.3233641230418,True,16:09
81490170,-25.5871765229344,-49.3233641230418,5,16:09,0,82821020,-25.4233146347775,-49.2160678044742,False,16:20
82821020,-25.4233146347775,-49.2160678044742,5,16:20,38,81550315,-25.4881320075695,-49.208315008611,True,16:33
81550315,-25.4881320075695,-49.208315008611,5,16:33,34,82821020,-25.4233146347775,-49.2160678044742,True,16:46
82821020,-25.4233146347775,-49.2160678044742,5,16:46,37,81580050,-25.4911705040405,-49.228041043675,True,16:54
81580050,-25.4911705040405,-49.228041043675,5,16:54,41,81910390,-25.5316857069475,-49.261658650228,True,17:08
81910390,-25.5316857069475,-49.261658650228,5,17:08,36,80320140,-25.4645330930821,-49.294537482629,True,17:16
80320140,-25.4645330930821,-49.294537482629,5,17:16,40,80045160,-25.4227240373025,-49.257747950136,True,17:21
80045160,-25.4227240373025,-49.257747950136,5,17:21,47,82515190,-25.399238,-49.229496,True,17:21
82515190,-25.399238,-49.229496,5,17:21,0,81170065,-25.5110533750523,-49.3200841245732,False,17:25
81170065,-25.5110533750523,-49.3200841245732,5,17:25,50,81050610,-25.4838938211145,-49.3106146746474,True,17:37
81050610,-25.4838938211145,-49.3106146746474,5,17:37,38,81850712,-25.5293962610013,-49.2571259563704,True,17:42
81850712,-25.5293962610013,-49.2571259563704,5,17:42,45,81930367,-25.5617914350131,-49.2710241313602,True,17:42
81930367,-25.5617914350131,-49.2710241313602,5,17:42,0,82821020,-25.4233146347775,-49.2160678044742,False,17:46
82821020,-25.4233146347775,-49.2160678044742,5,17:46,51,80045340,-25.4273942123959,-49.2452352041218,True,17:56
80045340,-25.4273942123959,-49.2452352041218,5,17:56,39,80240550,-25.4533378888945,-49.3034312777902,True,18:02
80240550,-25.4533378888945,-49.3034312777902,5,18:02,44,80060040,-25.4318069334388,-49.263280830672,True,18:08
80060040,-25.4318069334388,-49.263280830672,5,18:08,45,80220200,-25.4672406908201,-49.2801499774178,True,18:27
80220200,-25.4672406908201,-49.2801499774178,5,18:27,33,81935437,-25.5569929167696,-49.2495865835216,True,18:34
81935437,-25.5569929167696,-49.2495865835216,5,18:34,42,81830020,-25.5125646322447,-49.2675350633395,True,18:37
81830020,-25.5125646322447,-49.2675350633395,5,18:37,50,81910550,-25.5343119298378,-49.2590953391986,True,18:58
81910550,-25.5343119298378,-49.2590953391986,5,18:58,33,81230480,-25.4646281053601,-49.3394493683984,True,06:19
81230480,-25.4646281053601,-49.3394493683984,6,06:19,33,81480160,-25.5588432106598,-49.3151440012031,True,06:31
81480160,-25.5588432106598,-49.3151440012031,6,06:31,38,81350712,-25.4960801542241,-49.3371847691929,True,06:41
81350712,-25.4960801542241,-49.3371847691929,6,06:41,39,81810492,-25.5044000000137,-49.2718504999625,True,06:53
81810492,-25.5044000000137,-49.2718504999625,6,06:53,37,82960488,-25.4654066369594,-49.210649939143,True,07:02
82960488,-25.4654066369594,-49.210649939143,6,07:02,40,82820300,-25.4107437445588,-49.2017098689937,True,07:02
82820300,-25.4107437445588,-49.2017098689937,6,07:02,0,81460140,-25.5504730020315,-49.3064697407443,False,07:16
81460140,-25.5504730020315,-49.3064697407443,6,07:16,36,81320290,-25.4748252660661,-49.3107362306741,True,07:44
81320290,-25.4748252660661,-49.3107362306741,6,07:44,30,81490280,-25.5975675014877,-49.3235433911466,True,07:44
81490280,-25.5975675014877,-49.3235433911466,6,07:44,0,82821020,-25.4233146347775,-49.2160678044742,False,07:48
82821020,-25.4233146347775,-49.2160678044742,6,07:48,48,80040150,-25.419191727292,-49.2505313635874,True,08:02
80040150,-25.419191727292,-49.2505313635874,6,08:02,36,81200030,-25.4339218572309,-49.3305021428569,True,08:16
81200030,-25.4339218572309,-49.3305021428569,6,08:16,36,81110190,-25.4985135816744,-49.2879505576038,True,08:36
81110190,-25.4985135816744,-49.2879505576038,6,08:36,33,82821020,-25.4233146347775,-49.2160678044742,True,08:49
